accuracy,attempt
0.333333333333,0
0.333333333333,1
0.333333333333,2
0.333333333333,3
0.333333333333,4
0.333333333333,5
0.555555555556,6
0.444444444444,7
0.444444444444,8
0.333333333333,9
0.333333333333,10
0.333333333333,11
0.333333333333,12
0.333333333333,13
0.333333333333,14
0.333333333333,15
0.333333333333,16
0.333333333333,17
0.333333333333,18
0.333333333333,19
0.333333333333,20
0.666666666667,21
0.222222222222,22
0.666666666667,23
0.333333333333,24
0.333333333333,25
0.333333333333,26
0.333333333333,27
0.333333333333,28
0.333333333333,29
0.333333333333,30
0.333333333333,31
0.333333333333,32
0.333333333333,33
0.333333333333,34
0.333333333333,35
0.333333333333,36
0.333333333333,37
0.333333333333,38
0.333333333333,39
0.333333333333,40
0.333333333333,41
0.666666666667,42
0.222222222222,43
0.444444444444,44
0.666666666667,45
0.444444444444,46
0.777777777778,47
0.333333333333,48
0.333333333333,49
0.333333333333,50
0.333333333333,51
0.333333333333,52
0.333333333333,53
0.333333333333,54
0.333333333333,55
0.333333333333,56
0.333333333333,57
0.333333333333,58
0.333333333333,59
0.333333333333,60
0.333333333333,61
0.333333333333,62
0.333333333333,63
0.333333333333,64
0.333333333333,65
0.333333333333,66
0.333333333333,67
0.333333333333,68
0.333333333333,69
0.555555555556,70
0.666666666667,71
0.333333333333,72
0.333333333333,73
0.333333333333,74
0.333333333333,75
0.333333333333,76
0.333333333333,77
0.333333333333,78
0.333333333333,79
0.333333333333,80
0.333333333333,81
0.555555555556,82
0.555555555556,83
0.333333333333,84
0.333333333333,85
0.333333333333,86
0.333333333333,87
0.333333333333,88
0.333333333333,89
